molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,Canonical_Smiles,MW,LogP,HBD,HBA,pIC50
CHEMBL2114210,IC50,nM,110000.0,IC50,uM,110.0,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,193.199,-3.6058999999999988,6,6,3.958607314841775
CHEMBL2114210,IC50,nM,110000.0,IC50,uM,110.0,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,193.199,-3.6058999999999988,6,6,3.958607314841775
CHEMBL2114210,Ki,nM,6200.0,Ki,uM,6.2,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,193.199,-3.6058999999999988,6,6,5.207608310501746
CHEMBL87169,IC50,nM,700.0,IC50,uM,0.7,OCC1NC(CO)[C@@H](O)C(O)C1O,193.199,-3.6058999999999988,6,6,6.154901959985743
CHEMBL87169,Ki,nM,6900.0,Ki,uM,6.9,OCC1NC(CO)[C@@H](O)C(O)C1O,193.199,-3.6058999999999988,6,6,5.161150909262744
CHEMBL2115215,IC50,nM,3200.0,IC50,uM,3.2,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,193.199,-3.6058999999999988,6,6,5.494850021680094
CHEMBL2115215,Ki,nM,450.0,Ki,uM,0.45,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,193.199,-3.6058999999999988,6,6,6.346787486224656
CHEMBL501355,IC50,nM,40.0,IC50,uM,0.04,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,193.199,-3.6058999999999988,6,6,7.3979400086720375
CHEMBL2093897,IC50,nM,8400.0,IC50,uM,8.4,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,193.199,-3.6058999999999988,6,6,5.075720713938118
CHEMBL2442258,IC50,nM,60.0,IC50,uM,0.06,CN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,207.226,-3.2636999999999996,5,6,7.221848749616356
CHEMBL3084806,IC50,nM,4200.0,IC50,uM,4.2,CCCCN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,249.307,-2.093399999999999,5,6,5.376750709602099
