canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,CHEMBL2114210,IC50,nM,110000.0,IC50,uM,110.0
OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,CHEMBL2114210,IC50,nM,110000.0,IC50,uM,110.0
OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,CHEMBL2114210,Ki,nM,6200.0,Ki,uM,6.2
OCC1NC(CO)[C@@H](O)C(O)C1O,CHEMBL87169,IC50,nM,700.0,IC50,uM,0.7
OCC1NC(CO)[C@@H](O)C(O)C1O,CHEMBL87169,Ki,nM,6900.0,Ki,uM,6.9
OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2115215,IC50,nM,3200.0,IC50,uM,3.2
OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2115215,Ki,nM,450.0,Ki,uM,0.45
OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL501355,IC50,nM,40.0,IC50,uM,0.04
OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL2093897,IC50,nM,8400.0,IC50,uM,8.4
CN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL2442258,IC50,nM,60.0,IC50,uM,0.06
CCCCN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL3084806,IC50,nM,4200.0,IC50,uM,4.2
CCCCN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL77918,IC50,nM,50000.0,IC50,uM,50.0
OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL307429,IC50,nM,360.0,IC50,uM,0.36
OC[C@H]1NC[C@@H](O)[C@@H]1O,CHEMBL80254,IC50,nM,55000.0,IC50,uM,55.0
CCCCN1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL310229,IC50,nM,50000.0,IC50,uM,50.0
CN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL310231,IC50,nM,50000.0,IC50,uM,50.0
OC[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,CHEMBL312653,IC50,nM,50000.0,IC50,uM,50.0
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1029,IC50,nM,2100.0,IC50,uM,2.1
CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL75971,IC50,nM,120.0,IC50,uM,0.12
CN1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL80148,IC50,nM,500000.0,IC50,uM,500.0
C[Si](C)(C)c1cccc(CN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)c1,CHEMBL121223,Ki,nM,1000.0,Ki,uM,1.0
C[Si](C)(C)c1ccccc1CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL323803,Ki,nM,10000.0,Ki,uM,10.0
C[Si](C)(CCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccccc1,CHEMBL120488,Ki,nM,10.0,Ki,uM,0.01
C[Si](C)(CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccccc1,CHEMBL333917,Ki,nM,2600.0,Ki,uM,2.6
C[Si](C)(C)/C=C/CCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL331723,Ki,nM,,Ki,uM,
C[Si](C)(/C=C/CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccccc1,CHEMBL120226,Ki,nM,4.0,Ki,uM,0.004
C[Si](C)(CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccccc1,CHEMBL120007,Ki,nM,,Ki,uM,
CCC[Si](C)(C)CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL330763,Ki,nM,900.0,Ki,uM,0.9
C[Si](C)(C)/C=C\CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL332468,Ki,nM,,Ki,uM,
CC(C)(C)[Si](C)(C)/C=C/CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL120395,Ki,nM,87.0,Ki,uM,0.087
C[Si](C)(C)c1ccc(CN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)cc1,CHEMBL332802,Ki,nM,28.0,Ki,uM,0.028
C[Si](C)(C)CCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL120489,Ki,nM,70.0,Ki,uM,0.07
C[Si](C)(C)/C=C/CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL432221,Ki,nM,2.3,Ki,uM,0.0023
C[Si](C)(C)CCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL121283,Ki,nM,50.0,Ki,uM,0.05
C[Si](C)(C)CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL120169,Ki,nM,2500.0,Ki,uM,2.5
C[Si](C)(C)CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL415713,Ki,nM,120.0,Ki,uM,0.12
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL44,IC50,nM,10400.0,IC50,uM,10.4
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL44,IC50,nM,2610.0,IC50,uM,2.61
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL44,Ki,nM,10400.0,Ki,mM,0.0104
CCCCCCCCNC1C=C(CO)C(O)C(O)C1O,CHEMBL422734,IC50,nM,17000.0,IC50,M,0.000017
CCCCCCCCCCNC1C=C(CO)C(O)C(O)C1O,CHEMBL176679,IC50,nM,,IC50,M,
N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1230806,IC50,nM,100000.0,IC50,M,0.0001
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CNC1C=C(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCC,CHEMBL369361,IC50,nM,,IC50,M,
CCCCNC1C=C(CO)C(O)C(O)C1O,CHEMBL367666,IC50,nM,100000.0,IC50,M,0.0001
CCCCCCCCCCCCCCCCCCNC1C=C(CO)C(O)C(O)C1O,CHEMBL426933,IC50,nM,100000.0,IC50,M,0.0001
OC1C(O)C(O)C2OC2C1O,CHEMBL174067,IC50,nM,100000.0,IC50,M,0.0001
