molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,Canonical_Smiles,MW,LogP,HBD,HBA,pIC50,target_bit_count
CHEMBL476960,IC50,nM,1300.0,IC50,uM,1.3,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,267.278,-4.492399999999994,8,8,5.886056647693163,4
CHEMBL476960,IC50,nM,1300.0,IC50,uM,1.3,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,267.278,-4.492399999999994,8,8,5.886056647693163,4
CHEMBL2374253,IC50,nM,13.0,IC50,M,1.3e-08,OC[C@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,313.35,-2.111999999999997,7,7,7.886056647693163,3
CHEMBL3349446,IC50,nM,330.0,IC50,M,3.3e-07,OC[C@@]1(O)C[C@H](NCc2cccnc2)[C@H](O)[C@@H](O)[C@@H]1O,284.31200000000007,-2.250399999999998,6,7,6.481486060122113,3
CHEMBL222396,IC50,nM,2200.0,IC50,M,2.2e-06,N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,193.199,-3.4765,6,6,5.657577319177793,3
CHEMBL2374252,IC50,nM,34000.0,IC50,M,3.4e-05,OC[C@@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,313.35,-2.111999999999997,7,7,4.468521082957745,3
CHEMBL2051983,IC50,nM,4.9,IC50,M,4.9e-09,CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,353.368,-4.363999999999995,8,10,8.309803919971486,2
CHEMBL2374254,IC50,nM,5.8,IC50,M,5.8e-09,OC[C@@]1(O)C[C@H](NC[C@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,313.3500000000001,-2.111999999999999,7,7,8.236572006437063,2
CHEMBL3349432,IC50,nM,6.1,IC50,M,6.1e-09,OC[C@@]1(O)C[C@H](N[C@@H]2CCCC[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,291.344,-2.5420999999999982,7,7,8.214670164989233,2
CHEMBL3349431,IC50,nM,15.0,IC50,M,1.5e-08,OCN(CO)[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,253.251,-4.233599999999997,7,8,7.823908740944319,2
CHEMBL1258643,Ki,nM,15.0,Ki,uM,0.015,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],350.817,-7.859099999999996,8,8,7.823908740944319,2
CHEMBL1277241,Ki,nM,20.0,Ki,uM,0.02,OC[C@@H]1[C@@H](O)[C@H](O)C[Se+]1C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO.[Cl-],427.7360000000001,-7.620099999999992,9,9,7.698970004336019,2
CHEMBL2051761,IC50,nM,28.0,IC50,M,2.8e-08,C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,336.385,-4.388099999999994,9,9,7.552841968657781,2
CHEMBL1276973,Ki,nM,30.0,Ki,uM,0.03,OC[C@@H]1[C@@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO.[Cl-],380.8430000000001,-8.4982,9,9,7.522878745280337,2
CHEMBL3349442,IC50,nM,43.0,IC50,M,4.3e-08,CC(C)(C)c1cc(CN[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)cc(C(C)(C)C)c1O,411.53900000000016,0.6552000000000002,7,7,7.366531544420414,2
CHEMBL1258529,Ki,nM,43.0,Ki,uM,0.043,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO.[Cl-],350.817,-7.859099999999992,8,8,7.366531544420414,2
CHEMBL1258529,Ki,nM,43.0,Ki,uM,0.043,OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO.[Cl-],350.817,-7.859099999999992,8,8,7.366531544420414,2
CHEMBL1277240,Ki,nM,60.0,Ki,uM,0.06,Cl.OC[C@@H]1[C@@H](O)[C@H](O)CN1C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,363.79100000000005,-5.396699999999991,9,10,7.221848749616356,2
CHEMBL2051762,IC50,nM,68.0,IC50,M,6.8e-08,C[C@H]1C[C@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,337.369,-4.354499999999994,9,9,7.167491087293763,2
CHEMBL2051982,IC50,nM,70.0,IC50,M,7e-08,C[C@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,337.369,-4.354499999999994,9,9,7.154901959985743,2
